TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Houston Astros",AL,84,39,2.95,162,162,3,1,0,0,950,743,341,311,98,31,270,949,1.07,0.213
"2
Cleveland Guardians",AL,49,51,3.73,162,162,1,0,0,0,907,833,417,376,119,33,243,798,1.19,0.242
"3
Seattle Mariners",AL,56,52,3.75,162,162,0,0,0,0,903,871,404,376,121,33,266,808,1.26,0.252
"4
San Diego Padres",NL,55,49,3.8,162,162,0,0,0,0,901,786,400,380,120,47,287,918,1.19,0.231
"5
Philadelphia Phillies",NL,59,47,3.8,162,162,3,1,0,0,896.2,838,406,379,101,39,215,847,1.17,0.245
"6
New York Yankees",AL,54,33,3.51,162,162,1,1,0,0,894.1,743,358,349,121,30,216,897,1.07,0.222
"7
Atlanta Braves",NL,70,40,3.72,162,162,1,1,0,0,890.1,783,383,368,95,38,304,924,1.22,0.234
"8
Miami Marlins",NL,44,61,3.7,162,162,6,1,0,0,881.2,763,391,362,107,48,273,855,1.18,0.232
"9
New York Mets",NL,70,42,3.61,162,162,0,0,0,0,878,787,367,352,101,47,232,919,1.16,0.238
"10
Arizona Diamondbacks",NL,44,47,4.05,162,162,0,0,0,0,872,790,419,392,120,33,281,738,1.23,0.24
"11
Los Angeles Dodgers",NL,73,27,2.75,162,162,1,1,0,0,870.1,680,305,266,99,38,229,836,1.04,0.211
"12
Chicago White Sox",AL,52,59,3.89,162,162,2,1,0,0,865.1,803,420,374,108,29,302,831,1.28,0.243
"13
St. Louis Cardinals",NL,52,53,3.92,162,162,3,1,0,0,864.1,837,393,376,87,39,274,670,1.29,0.255
"14
Colorado Rockies",NL,39,66,5.22,162,162,1,1,0,0,859.2,974,535,499,122,36,294,655,1.47,0.286
"15
Oakland Athletics",AL,40,74,4.69,162,162,0,0,0,0,850.1,848,469,443,129,34,267,662,1.31,0.258
"16
Milwaukee Brewers",NL,50,44,3.75,162,162,0,0,0,0,849.2,727,395,354,107,33,300,889,1.21,0.229
"17
Los Angeles Angels",AL,52,59,3.67,162,162,2,2,0,0,843.1,740,363,344,87,32,314,830,1.25,0.233
"18
Kansas City Royals",AL,32,70,4.76,162,162,0,0,0,0,832.2,915,477,440,115,33,302,639,1.46,0.28
"19
Toronto Blue Jays",AL,55,43,3.98,162,162,0,0,0,0,827.2,821,396,366,101,39,211,782,1.25,0.256
"20
Cincinnati Reds",NL,33,73,4.97,162,162,1,1,0,0,809.2,789,467,447,131,68,316,781,1.36,0.254
"21
Boston Red Sox",AL,45,51,4.49,162,162,5,2,0,0,807.2,834,431,403,112,26,258,719,1.35,0.265
"22
Detroit Tigers",AL,35,63,4.51,162,162,0,0,0,0,802.2,798,437,402,121,26,268,594,1.33,0.257
"23
Baltimore Orioles",AL,41,50,4.35,162,162,2,1,0,0,802.1,831,409,388,109,33,233,620,1.33,0.267
"24
Texas Rangers",AL,37,53,4.63,162,162,1,1,0,0,793.1,800,433,408,103,45,317,694,1.41,0.261
"25
Chicago Cubs",NL,37,52,3.95,162,162,0,0,0,0,786.2,755,393,345,109,32,264,667,1.3,0.249
"26
San Francisco Giants",NL,47,47,3.68,162,162,1,0,0,0,783,744,363,320,67,31,200,788,1.21,0.248
"27
Minnesota Twins",AL,44,49,4.11,162,162,0,0,0,0,782.2,725,375,357,106,36,225,661,1.21,0.243
"28
Washington Nationals",NL,30,86,5.97,162,162,2,0,0,0,773.2,886,542,513,161,39,323,635,1.56,0.285
"29
Pittsburgh Pirates",NL,21,62,4.61,162,162,0,0,0,0,767.1,792,431,393,94,40,290,655,1.41,0.262
"30
Tampa Bay Rays",AL,43,42,3.45,162,162,0,0,0,0,753,677,314,289,89,29,172,727,1.13,0.236